is_member,year,month,day,hour,recor_count
0,,05,Thursday,14,4608
0,,05,Thursday,15,5107
0,,05,Thursday,16,5682
0,,05,Thursday,17,6079
0,,05,Thursday,18,5396
0,,05,Thursday,19,4580
0,,05,Thursday,20,3505
0,,05,Thursday,21,2950
0,,05,Thursday,22,2507
0,,05,Thursday,23,2134
0,,05,Tuesday,00,897
0,,05,Tuesday,01,519
0,,05,Tuesday,02,394
0,,05,Tuesday,03,243
0,,05,Tuesday,04,123
0,,05,Tuesday,05,119
0,,05,Tuesday,06,292
0,,05,Tuesday,07,984
0,,05,Tuesday,08,2063
0,,05,Tuesday,09,1817
0,,05,Tuesday,10,2346
0,,05,Tuesday,11,2946
0,,05,Tuesday,12,3394
0,,05,Tuesday,13,3793
0,,05,Tuesday,14,3882
0,,05,Tuesday,15,4493
0,,05,Tuesday,16,5236
0,,05,Tuesday,17,6222
0,,05,Tuesday,18,5138
0,,05,Tuesday,19,4538
0,,05,Tuesday,20,3391
0,,05,Tuesday,21,2852
0,,05,Tuesday,22,2384
0,,05,Tuesday,23,1764
0,,05,Wednesday,00,1197
0,,05,Wednesday,01,851
0,,05,Wednesday,02,546
0,,05,Wednesday,03,422
0,,05,Wednesday,04,149
0,,05,Wednesday,05,151
0,,05,Wednesday,06,336
0,,05,Wednesday,07,1112
0,,05,Wednesday,08,2379
0,,05,Wednesday,09,2264
0,,05,Wednesday,10,2331
0,,05,Wednesday,11,3220
0,,05,Wednesday,12,3902
0,,05,Wednesday,13,4232
0,,05,Wednesday,14,4720
0,,05,Wednesday,15,5190
0,,05,Wednesday,16,5943
0,,05,Wednesday,17,6859
0,,05,Wednesday,18,6200
0,,05,Wednesday,19,5278
0,,05,Wednesday,20,4350
0,,05,Wednesday,21,3589
0,,05,Wednesday,22,3450
0,,05,Wednesday,23,2483
0,,06,Friday,00,2828
0,,06,Friday,01,1895
0,,06,Friday,02,1178
0,,06,Friday,03,1012
0,,06,Friday,04,389
0,,06,Friday,05,278
0,,06,Friday,06,377
0,,06,Friday,07,1073
0,,06,Friday,08,2522
0,,06,Friday,09,2686
0,,06,Friday,10,3473
0,,06,Friday,11,5341
0,,06,Friday,12,6068
0,,06,Friday,13,6476
0,,06,Friday,14,6953
0,,06,Friday,15,7683
0,,06,Friday,16,8398
0,,06,Friday,17,8948
0,,06,Friday,18,8594
0,,06,Friday,19,8017
0,,06,Friday,20,7167
0,,06,Friday,21,6579
0,,06,Friday,22,6229
0,,06,Friday,23,5943
0,,06,Monday,00,1852
0,,06,Monday,01,1279
0,,06,Monday,02,790
0,,06,Monday,03,638
0,,06,Monday,04,240
0,,06,Monday,05,203
0,,06,Monday,06,344
0,,06,Monday,07,937
0,,06,Monday,08,2007
0,,06,Monday,09,2231
0,,06,Monday,10,3142
0,,06,Monday,11,4592
0,,06,Monday,12,5220
0,,06,Monday,13,5699
0,,06,Monday,14,6253
0,,06,Monday,15,6601
0,,06,Monday,16,7101
0,,06,Monday,17,7412
0,,06,Monday,18,6298
0,,06,Monday,19,5384
0,,06,Monday,20,4612
0,,06,Monday,21,3837
0,,06,Monday,22,3262
0,,06,Monday,23,2151
0,,06,Saturday,00,5237
0,,06,Saturday,01,4569
0,,06,Saturday,02,3305
0,,06,Saturday,03,2763
0,,06,Saturday,04,941
0,,06,Saturday,05,481
0,,06,Saturday,06,445
0,,06,Saturday,07,771
0,,06,Saturday,08,1768
0,,06,Saturday,09,3626
0,,06,Saturday,10,6282
0,,06,Saturday,11,9293
0,,06,Saturday,12,12165
0,,06,Saturday,13,13643
0,,06,Saturday,14,15509
0,,06,Saturday,15,16625
0,,06,Saturday,16,15867
0,,06,Saturday,17,15111
0,,06,Saturday,18,13171
0,,06,Saturday,19,11462
0,,06,Saturday,20,9902
0,,06,Saturday,21,8371
0,,06,Saturday,22,7633
0,,06,Saturday,23,7385
0,,06,Sunday,00,6033
0,,06,Sunday,01,4726
0,,06,Sunday,02,3678
0,,06,Sunday,03,3713
0,,06,Sunday,04,1226
0,,06,Sunday,05,541
0,,06,Sunday,06,441
0,,06,Sunday,07,725
0,,06,Sunday,08,1723
0,,06,Sunday,09,3605
0,,06,Sunday,10,6609
0,,06,Sunday,11,9653
0,,06,Sunday,12,11757
0,,06,Sunday,13,13500
0,,06,Sunday,14,14703
0,,06,Sunday,15,14531
0,,06,Sunday,16,12729
0,,06,Sunday,17,12047
0,,06,Sunday,18,10277
0,,06,Sunday,19,9233
0,,06,Sunday,20,7895
0,,06,Sunday,21,6683
0,,06,Sunday,22,5408
0,,06,Sunday,23,4363
0,,06,Thursday,00,2002
0,,06,Thursday,01,1191
0,,06,Thursday,02,746
0,,06,Thursday,03,605
0,,06,Thursday,04,272
0,,06,Thursday,05,191
0,,06,Thursday,06,395
0,,06,Thursday,07,1195
0,,06,Thursday,08,2834
0,,06,Thursday,09,2456
0,,06,Thursday,10,2994
0,,06,Thursday,11,3801
0,,06,Thursday,12,4681
0,,06,Thursday,13,4768
0,,06,Thursday,14,4939
0,,06,Thursday,15,5878
0,,06,Thursday,16,6309
0,,06,Thursday,17,7725
0,,06,Thursday,18,6885
0,,06,Thursday,19,5971
0,,06,Thursday,20,5304
0,,06,Thursday,21,4459
0,,06,Thursday,22,4247
0,,06,Thursday,23,3811
0,,06,Tuesday,00,1369
0,,06,Tuesday,01,894
0,,06,Tuesday,02,534
0,,06,Tuesday,03,359
0,,06,Tuesday,04,156
0,,06,Tuesday,05,155
0,,06,Tuesday,06,330
0,,06,Tuesday,07,946
0,,06,Tuesday,08,2042
0,,06,Tuesday,09,2056
0,,06,Tuesday,10,2535
0,,06,Tuesday,11,3502
0,,06,Tuesday,12,4043
0,,06,Tuesday,13,4353
0,,06,Tuesday,14,4520
0,,06,Tuesday,15,4633
0,,06,Tuesday,16,5339
0,,06,Tuesday,17,6290
0,,06,Tuesday,18,5354
0,,06,Tuesday,19,4775
0,,06,Tuesday,20,4087
0,,06,Tuesday,21,3557
0,,06,Tuesday,22,3083
0,,06,Tuesday,23,2240
0,,06,Wednesday,00,1591
0,,06,Wednesday,01,1162
0,,06,Wednesday,02,688
0,,06,Wednesday,03,517
0,,06,Wednesday,04,237
0,,06,Wednesday,05,179
0,,06,Wednesday,06,382
0,,06,Wednesday,07,1166
0,,06,Wednesday,08,2632
0,,06,Wednesday,09,2267
0,,06,Wednesday,10,3090
0,,06,Wednesday,11,4277
0,,06,Wednesday,12,4850
0,,06,Wednesday,13,5228
0,,06,Wednesday,14,5589
0,,06,Wednesday,15,6017
0,,06,Wednesday,16,6528
0,,06,Wednesday,17,7213
0,,06,Wednesday,18,6210
0,,06,Wednesday,19,5365
0,,06,Wednesday,20,4682
0,,06,Wednesday,21,3729
0,,06,Wednesday,22,3248
0,,06,Wednesday,23,2720
0,,07,Friday,00,3084
0,,07,Friday,01,2270
0,,07,Friday,02,1526
0,,07,Friday,03,1167
0,,07,Friday,04,406
0,,07,Friday,05,280
0,,07,Friday,06,434
0,,07,Friday,07,1235
0,,07,Friday,08,2788
0,,07,Friday,09,3316
0,,07,Friday,10,4798
0,,07,Friday,11,6882
0,,07,Friday,12,8332
0,,07,Friday,13,8725
0,,07,Friday,14,9252
0,,07,Friday,15,9500
0,,07,Friday,16,10197
0,,07,Friday,17,10214
0,,07,Friday,18,9259
0,,07,Friday,19,8230
0,,07,Friday,20,7432
0,,07,Friday,21,6684
0,,07,Friday,22,6346
0,,07,Friday,23,6104
0,,07,Monday,00,2726
0,,07,Monday,01,1678
0,,07,Monday,02,1036
0,,07,Monday,03,898
0,,07,Monday,04,330
0,,07,Monday,05,292
0,,07,Monday,06,443
0,,07,Monday,07,1296
0,,07,Monday,08,2843
0,,07,Monday,09,3434
0,,07,Monday,10,4718
0,,07,Monday,11,6477
0,,07,Monday,12,7291
0,,07,Monday,13,7365
0,,07,Monday,14,7914
0,,07,Monday,15,8529
0,,07,Monday,16,8454
0,,07,Monday,17,9184
0,,07,Monday,18,8584
0,,07,Monday,19,7263
0,,07,Monday,20,6377
0,,07,Monday,21,5035
0,,07,Monday,22,4212
0,,07,Monday,23,3228
0,,07,Saturday,00,5465
0,,07,Saturday,01,4365
0,,07,Saturday,02,3349
0,,07,Saturday,03,3040
0,,07,Saturday,04,1039
0,,07,Saturday,05,427
0,,07,Saturday,06,422
0,,07,Saturday,07,713
0,,07,Saturday,08,1493
0,,07,Saturday,09,3459
0,,07,Saturday,10,6322
0,,07,Saturday,11,10079
